Name,ticker
HDFC Top 100 Fund,HDFCTOP100FUND.BO
ICICI Prudential Bluechip Fund,ICICIPRUDENTIALBLUECHIPFUND.BO
SBI Bluechip Fund,SBIBLUECHIPFUND.BO
Kotak Standard Multicap Fund,KOTAKSTANDARDMULTICAPFUND.BO
UTI Nifty Index Fund,UTINIFTYINDEXFUND.BO
Axis Bluechip Fund,AXISBLUECHIPFUND.BO
Aditya Birla Sun Life Frontline Equity Fund,ADITYABIRLASUNLIFEFRONTLINEEQUITYFUND.BO
DSP Equity Fund,DSPEQUITYFUND.BO
Franklin India Bluechip Fund,FRANKLININDIABLUECHIPFUND.BO
Invesco India Equity Fund,INVESCOINDIAEQUITYFUND.BO
IDFC Equity Fund,IDFCEQUITYFUND.BO
Mirae Asset Large Cap Fund,MIRAEASSETLARGECAPFUND.BO
Nippon India Large Cap Fund,NIPPONINDIALARGECAPFUND.BO
L&T Large Cap Fund,LTLARGECAPFUND.BO
Edelweiss Large & Midcap Fund,EDELWEISSLARGEMIDCAPFUND.BO
ICICI Prudential Midcap Fund,ICICIPRUDENTIALMIDCAPFUND.BO
SBI Magnum Midcap Fund,SBIMAGNUMMIDCAPFUND.BO
HDFC Mid-Cap Opportunities Fund,HDFCMIDCAPOPPORTUNITIESFUND.BO
DSP Midcap Fund,DSPMIDCAPFUND.BO
Kotak Emerging Equity Fund,KOTAKEMERGINGEQUITYFUND.BO
Franklin India Prima Fund,FRANKLININDIAPRIMAFUND.BO
Axis Midcap Fund,AXISMIDCAPFUND.BO
ICICI Prudential Smallcap Fund,ICICIPRUDENTIALSMALLCAPFUND.BO
SBI Small Cap Fund,SBISMALLCAPFUND.BO
Nippon India Small Cap Fund,NIPPONINDIASMALLCAPFUND.BO
HDFC Small Cap Fund,HDFCSMALLCAPFUND.BO
Mirae Asset Emerging Bluechip Fund,MIRAEASSETEMERGINGBLUECHIPFUND.BO
UTI Emerging Equity Fund,UTIEMERGINGEQUITYFUND.BO
Aditya Birla Sun Life Digital India Fund,ADITYABIRLASUNLIFEDIGITALINDIAFUND.BO
SBI Technology Opportunities Fund,SBITECHNOLOGYOPPORTUNITIESFUND.BO
ICICI Prudential Technology Fund,ICICIPRUDENTIALTECHNOLOGYFUND.BO
Franklin India Technology Fund,FRANKLININDIATECHNOLOGYFUND.BO
DSP IT Fund,DSPITFUND.BO
Axis IT Fund,AXISITFUND.BO
L&T Technology Fund,LTTECHNOLOGYFUND.BO
ICICI Prudential Pharma Fund,ICICIPRUDENTIALPHARMAFUND.BO
SBI Healthcare Opportunities Fund,SBIHEALTHCAREOPPORTUNITIESFUND.BO
Aditya Birla Sun Life Healthcare Fund,ADITYABIRLASUNLIFEHEALTHCAREFUND.BO
Tata Digital India Fund,TATADIGITALINDIAFUND.BO
HDFC Banking & PSU Debt Fund,HDFCBANKINGPSUDEBTFUND.BO
SBI Banking & Financial Services Fund,SBIBANKINGFINANCIALSERVICESFUND.BO
Kotak Banking Fund,KOTAKBANKINGFUND.BO
ICICI Prudential Banking & Financial Services Fund,ICICIPRUDENTIALBANKINGFINANCIALSERVICESFUND.BO
HDFC Corporate Bond Fund,HDFCCORPORATEBONDFUND.BO
ICICI Prudential Corporate Bond Fund,ICICIPRUDENTIALCORPORATEBONDFUND.BO
SBI Magnum Gilt Fund,SBIMAGNUMGILTFUND.BO
Franklin India Gilt Fund,FRANKLININDIAGILTFUND.BO
DSP Government Securities Fund,DSPGOVERNMENTSECURITIESFUND.BO
Aditya Birla Sun Life Government Bond Fund,ADITYABIRLASUNLIFEGOVERNMENTBONDFUND.BO
ICICI Prudential Bond Fund,ICICIPRUDENTIALBONDFUND.BO
